"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","183","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Thu Feb 26 12:24:34 UTC 2026","passed","Thu Feb 26 12:24:34 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","181","Data Tables and HTML Attachments","chromium","Thu Feb 26 12:24:34 UTC 2026","passed","Thu Feb 26 12:24:34 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","191","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Thu Feb 26 12:24:34 UTC 2026","passed","Thu Feb 26 12:24:34 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","612","E2E: Rapid Checkout (Success - Mocked API)","chromium","Thu Feb 26 12:24:35 UTC 2026","passed","Thu Feb 26 12:24:35 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","793","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Thu Feb 26 12:24:32 UTC 2026","passed","Thu Feb 26 12:24:33 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","182","Parameterized Steps","chromium","Thu Feb 26 12:24:34 UTC 2026","passed","Thu Feb 26 12:24:34 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","274","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Thu Feb 26 12:24:38 UTC 2026","failed","Thu Feb 26 12:24:38 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","168","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Thu Feb 26 12:24:34 UTC 2026","passed","Thu Feb 26 12:24:35 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","706","Data Driven Test (Inline)","chromium","Thu Feb 26 12:24:40 UTC 2026","passed","Thu Feb 26 12:24:41 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","516","Failed login via BDR Flow","chromium","Thu Feb 26 12:24:33 UTC 2026","passed","Thu Feb 26 12:24:34 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","23","User Authentication and Profile Check via API","chromium","Thu Feb 26 12:24:32 UTC 2026","passed","Thu Feb 26 12:24:32 UTC 2026","API BDR Demo","","",""
"","703","Successful Login (Inline BDD Style)","chromium","Thu Feb 26 12:24:40 UTC 2026","passed","Thu Feb 26 12:24:40 UTC 2026","Inline BDR Demo (Flexible)","","",""
