"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","182","Parameterized Steps","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","166","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","176","Data Tables and HTML Attachments","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","185","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","827","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Fri Feb 13 07:10:27 UTC 2026","passed","Fri Feb 13 07:10:28 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","619","Successful Login (Inline BDD Style)","chromium","Fri Feb 13 07:10:35 UTC 2026","passed","Fri Feb 13 07:10:36 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","652","Data Driven Test (Inline)","chromium","Fri Feb 13 07:10:36 UTC 2026","passed","Fri Feb 13 07:10:37 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","477","Failed login via BDR Flow","chromium","Fri Feb 13 07:10:29 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","20","User Authentication and Profile Check via API","chromium","Fri Feb 13 07:10:27 UTC 2026","passed","Fri Feb 13 07:10:27 UTC 2026","API BDR Demo","","",""
"","265","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Fri Feb 13 07:10:34 UTC 2026","failed","Fri Feb 13 07:10:34 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","175","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:30 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","608","E2E: Rapid Checkout (Success - Mocked API)","chromium","Fri Feb 13 07:10:30 UTC 2026","passed","Fri Feb 13 07:10:31 UTC 2026","Hybrid BDR Demo: API + UI","","",""
