"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Thu Feb 26 12:30:19 UTC 2026","passed","Thu Feb 26 12:30:19 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","190","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Thu Feb 26 12:30:19 UTC 2026","passed","Thu Feb 26 12:30:19 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","628","Successful Login (Inline BDD Style)","chromium","Thu Feb 26 12:30:24 UTC 2026","passed","Thu Feb 26 12:30:24 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","185","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Thu Feb 26 12:30:18 UTC 2026","passed","Thu Feb 26 12:30:18 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","24","User Authentication and Profile Check via API","chromium","Thu Feb 26 12:30:15 UTC 2026","passed","Thu Feb 26 12:30:15 UTC 2026","API BDR Demo","","",""
"","858","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Thu Feb 26 12:30:15 UTC 2026","passed","Thu Feb 26 12:30:16 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","179","Parameterized Steps","chromium","Thu Feb 26 12:30:18 UTC 2026","passed","Thu Feb 26 12:30:18 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","481","Failed login via BDR Flow","chromium","Thu Feb 26 12:30:17 UTC 2026","passed","Thu Feb 26 12:30:18 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","179","Data Tables and HTML Attachments","chromium","Thu Feb 26 12:30:18 UTC 2026","passed","Thu Feb 26 12:30:18 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","266","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Thu Feb 26 12:30:22 UTC 2026","failed","Thu Feb 26 12:30:23 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","636","Data Driven Test (Inline)","chromium","Thu Feb 26 12:30:24 UTC 2026","passed","Thu Feb 26 12:30:25 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","606","E2E: Rapid Checkout (Success - Mocked API)","chromium","Thu Feb 26 12:30:19 UTC 2026","passed","Thu Feb 26 12:30:20 UTC 2026","Hybrid BDR Demo: API + UI","","",""
