"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","Failed login via BDR Flow","chromium","Fri Feb 13 07:12:03 UTC 2026","passed","Fri Feb 13 07:12:04 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","193","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Fri Feb 13 07:12:04 UTC 2026","passed","Fri Feb 13 07:12:04 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","171","Parameterized Steps","chromium","Fri Feb 13 07:12:04 UTC 2026","passed","Fri Feb 13 07:12:04 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","189","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Fri Feb 13 07:12:04 UTC 2026","passed","Fri Feb 13 07:12:05 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","184","Data Tables and HTML Attachments","chromium","Fri Feb 13 07:12:04 UTC 2026","passed","Fri Feb 13 07:12:04 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","264","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Fri Feb 13 07:12:08 UTC 2026","failed","Fri Feb 13 07:12:08 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","634","E2E: Rapid Checkout (Success - Mocked API)","chromium","Fri Feb 13 07:12:05 UTC 2026","passed","Fri Feb 13 07:12:05 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","21","User Authentication and Profile Check via API","chromium","Fri Feb 13 07:12:02 UTC 2026","passed","Fri Feb 13 07:12:02 UTC 2026","API BDR Demo","","",""
"","743","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Fri Feb 13 07:12:02 UTC 2026","passed","Fri Feb 13 07:12:03 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","629","Successful Login (Inline BDD Style)","chromium","Fri Feb 13 07:12:10 UTC 2026","passed","Fri Feb 13 07:12:10 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","680","Data Driven Test (Inline)","chromium","Fri Feb 13 07:12:10 UTC 2026","passed","Fri Feb 13 07:12:11 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","178","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Fri Feb 13 07:12:04 UTC 2026","passed","Fri Feb 13 07:12:04 UTC 2026","Enhanced BDR Features (Mocked)","","",""
