"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","458","Failed login via BDR Flow","chromium","Mon Feb 16 15:14:08 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","158","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Mon Feb 16 15:14:09 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","842","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Mon Feb 16 15:14:06 UTC 2026","passed","Mon Feb 16 15:14:07 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","20","User Authentication and Profile Check via API","chromium","Mon Feb 16 15:14:06 UTC 2026","passed","Mon Feb 16 15:14:06 UTC 2026","API BDR Demo","","",""
"","605","E2E: Rapid Checkout (Success - Mocked API)","chromium","Mon Feb 16 15:14:10 UTC 2026","passed","Mon Feb 16 15:14:10 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","169","Parameterized Steps","chromium","Mon Feb 16 15:14:09 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","153","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Mon Feb 16 15:14:09 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","237","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Mon Feb 16 15:14:13 UTC 2026","failed","Mon Feb 16 15:14:13 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","607","Successful Login (Inline BDD Style)","chromium","Mon Feb 16 15:14:14 UTC 2026","passed","Mon Feb 16 15:14:15 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","163","Data Tables and HTML Attachments","chromium","Mon Feb 16 15:14:09 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","655","Data Driven Test (Inline)","chromium","Mon Feb 16 15:14:15 UTC 2026","passed","Mon Feb 16 15:14:15 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","169","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Mon Feb 16 15:14:09 UTC 2026","passed","Mon Feb 16 15:14:09 UTC 2026","Enhanced BDR Features (Mocked)","","",""
