"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","637","Successful Login (Inline BDD Style)","chromium","Thu May 07 17:40:01 UTC 2026","passed","Thu May 07 17:40:02 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","764","Authenticate as Standard User","auth-setup","Thu May 07 17:39:42 UTC 2026","passed","Thu May 07 17:39:43 UTC 2026","","","",""
"","836","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Thu May 07 17:39:46 UTC 2026","passed","Thu May 07 17:39:47 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","189","Data-Driven Scalability: Flow for STANDARD instance","chromium","Thu May 07 17:40:01 UTC 2026","passed","Thu May 07 17:40:01 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","496","DEMO: expect.toPass architecture","chromium","Thu May 07 17:39:58 UTC 2026","passed","Thu May 07 17:39:59 UTC 2026","Async Stability Examples","","",""
"","322","DEMO: expect.poll vs Eventual Consistency","chromium","Thu May 07 17:39:57 UTC 2026","failed","Thu May 07 17:39:57 UTC 2026","Async Stability Examples","","",""
"","755","E2E: Rapid Checkout (Success - Mocked API)","chromium","Thu May 07 17:39:49 UTC 2026","passed","Thu May 07 17:39:50 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","5835","Antipattern:toBeHidden without trigger (Rule #11)","chromium","Thu May 07 17:39:50 UTC 2026","failed","Thu May 07 17:39:55 UTC 2026","Hall of Shame Examples","","",""
"","79","Check environment availability","healthcheck","Thu May 07 17:39:45 UTC 2026","passed","Thu May 07 17:39:45 UTC 2026","","","",""
"","701","Data-Driven Sequence (Inline)","chromium","Thu May 07 17:40:02 UTC 2026","passed","Thu May 07 17:40:03 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","235","Parameterized Steps with Data-Driven Inputs","chromium","Thu May 07 17:40:00 UTC 2026","passed","Thu May 07 17:40:01 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","21","User Authentication and Profile Check via API","chromium","Thu May 07 17:39:59 UTC 2026","failed","Thu May 07 17:39:59 UTC 2026","API BDR Demo","","",""
"","534","Failed login via BDR Flow","chromium","Thu May 07 17:39:47 UTC 2026","passed","Thu May 07 17:39:47 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","213","Failure Demo: Data Mismatch with Rich Table","chromium","Thu May 07 17:39:47 UTC 2026","failed","Thu May 07 17:39:48 UTC 2026","Rich Diagnostics Demonstration","","",""
"","170","Data-Driven Scalability: Flow for VISUAL instance","chromium","Thu May 07 17:40:01 UTC 2026","passed","Thu May 07 17:40:01 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","186","Data-Driven Scalability: Flow for PROBLEM instance","chromium","Thu May 07 17:40:01 UTC 2026","passed","Thu May 07 17:40:01 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","192","Rich Reporting: Data Tables and Attachments","chromium","Thu May 07 17:40:01 UTC 2026","passed","Thu May 07 17:40:01 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
