"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","User Authentication and Profile Check via API","chromium","Thu Feb 26 12:26:47 UTC 2026","passed","Thu Feb 26 12:26:47 UTC 2026","API BDR Demo","","",""
"","152","Parameterized Steps","chromium","Thu Feb 26 12:26:49 UTC 2026","passed","Thu Feb 26 12:26:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","184","Data Tables and HTML Attachments","chromium","Thu Feb 26 12:26:50 UTC 2026","passed","Thu Feb 26 12:26:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","225","E2E: Rapid Checkout (Failure - Real API No Backend)","chromium","Thu Feb 26 12:26:54 UTC 2026","failed","Thu Feb 26 12:26:54 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","170","Data-Driven Scalability: Flow for problem_user (Support)","chromium","Thu Feb 26 12:26:50 UTC 2026","passed","Thu Feb 26 12:26:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","173","Data-Driven Scalability: Flow for standard_user (Premium)","chromium","Thu Feb 26 12:26:50 UTC 2026","passed","Thu Feb 26 12:26:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","600","E2E: Rapid Checkout (Success - Mocked API)","chromium","Thu Feb 26 12:26:50 UTC 2026","passed","Thu Feb 26 12:26:51 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","157","Data-Driven Scalability: Flow for visual_user (Basic)","chromium","Thu Feb 26 12:26:50 UTC 2026","passed","Thu Feb 26 12:26:50 UTC 2026","Enhanced BDR Features (Mocked)","","",""
"","600","Successful Login (Inline BDD Style)","chromium","Thu Feb 26 12:26:55 UTC 2026","passed","Thu Feb 26 12:26:55 UTC 2026","Inline BDR Demo (Flexible)","","",""
"","809","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Thu Feb 26 12:26:47 UTC 2026","passed","Thu Feb 26 12:26:48 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","448","Failed login via BDR Flow","chromium","Thu Feb 26 12:26:49 UTC 2026","passed","Thu Feb 26 12:26:49 UTC 2026","Class-Based BDR Demo (Recommended)","","",""
"","618","Data Driven Test (Inline)","chromium","Thu Feb 26 12:26:55 UTC 2026","passed","Thu Feb 26 12:26:56 UTC 2026","Inline BDR Demo (Flexible)","","",""
