"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","Data-Driven Scalability: Flow for STANDARD instance","chromium","Mon Apr 27 08:34:38 UTC 2026","passed","Mon Apr 27 08:34:38 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","20","User Authentication and Profile Check via API","chromium","Mon Apr 27 08:34:36 UTC 2026","failed","Mon Apr 27 08:34:36 UTC 2026","API BDR Demo","","",""
"","708","Data-Driven Sequence (Inline)","chromium","Mon Apr 27 08:34:39 UTC 2026","passed","Mon Apr 27 08:34:40 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","5862","Antipattern:toBeHidden without trigger (Rule #11)","chromium","Mon Apr 27 08:34:27 UTC 2026","failed","Mon Apr 27 08:34:33 UTC 2026","Hall of Shame Examples","","",""
"","176","Rich Reporting: Data Tables and Attachments","chromium","Mon Apr 27 08:34:38 UTC 2026","passed","Mon Apr 27 08:34:38 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","654","Successful Login (Inline BDD Style)","chromium","Mon Apr 27 08:34:38 UTC 2026","passed","Mon Apr 27 08:34:39 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","329","DEMO: expect.poll vs Eventual Consistency","chromium","Mon Apr 27 08:34:34 UTC 2026","failed","Mon Apr 27 08:34:34 UTC 2026","Async Stability Examples","","",""
"","563","Failed login via BDR Flow","chromium","Mon Apr 27 08:34:24 UTC 2026","passed","Mon Apr 27 08:34:24 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","824","Authenticate as Standard User","auth-setup","Mon Apr 27 08:34:19 UTC 2026","passed","Mon Apr 27 08:34:20 UTC 2026","","","",""
"","823","E2E: Rapid Checkout (Success - Mocked API)","chromium","Mon Apr 27 08:34:26 UTC 2026","passed","Mon Apr 27 08:34:27 UTC 2026","Hybrid BDR Demo: API + UI","","",""
"","527","DEMO: expect.toPass architecture","chromium","Mon Apr 27 08:34:35 UTC 2026","passed","Mon Apr 27 08:34:36 UTC 2026","Async Stability Examples","","",""
"","178","Data-Driven Scalability: Flow for PROBLEM instance","chromium","Mon Apr 27 08:34:38 UTC 2026","passed","Mon Apr 27 08:34:38 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","819","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Mon Apr 27 08:34:23 UTC 2026","passed","Mon Apr 27 08:34:24 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","183","Data-Driven Scalability: Flow for VISUAL instance","chromium","Mon Apr 27 08:34:38 UTC 2026","passed","Mon Apr 27 08:34:38 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","228","Parameterized Steps with Data-Driven Inputs","chromium","Mon Apr 27 08:34:37 UTC 2026","passed","Mon Apr 27 08:34:38 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","205","Failure Demo: Data Mismatch with Rich Table","chromium","Mon Apr 27 08:34:24 UTC 2026","failed","Mon Apr 27 08:34:25 UTC 2026","Rich Diagnostics Demonstration","","",""
"","72","Check environment availability","healthcheck","Mon Apr 27 08:34:22 UTC 2026","passed","Mon Apr 27 08:34:22 UTC 2026","","","",""
