"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","Data-Driven Scalability: Flow for VISUAL instance","chromium","Thu Mar 26 10:19:00 UTC 2026","passed","Thu Mar 26 10:19:00 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","799","Data-Driven Sequence (Inline)","chromium","Thu Mar 26 10:19:01 UTC 2026","passed","Thu Mar 26 10:19:02 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","659","Failed login via BDR Flow","chromium","Thu Mar 26 10:18:45 UTC 2026","passed","Thu Mar 26 10:18:46 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","381","DEMO: expect.poll vs Eventual Consistency","chromium","Thu Mar 26 10:18:55 UTC 2026","failed","Thu Mar 26 10:18:56 UTC 2026","Async Stability Examples","","",""
"","240","Parameterized Steps with Data-Driven Inputs","chromium","Thu Mar 26 10:18:59 UTC 2026","passed","Thu Mar 26 10:18:59 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","184","Data-Driven Scalability: Flow for PROBLEM instance","chromium","Thu Mar 26 10:19:00 UTC 2026","passed","Thu Mar 26 10:19:00 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","931","E2E Purchase Flow: Login -> Add to Cart -> Checkout","chromium","Thu Mar 26 10:18:44 UTC 2026","passed","Thu Mar 26 10:18:45 UTC 2026","Class-Based BDR Demo (Recommended / Golden Standard)","","",""
"","112","Check environment availability","healthcheck","Thu Mar 26 10:18:43 UTC 2026","passed","Thu Mar 26 10:18:43 UTC 2026","","","",""
"","756","Successful Login (Inline BDD Style)","chromium","Thu Mar 26 10:19:00 UTC 2026","passed","Thu Mar 26 10:19:01 UTC 2026","Inline BDR Demo (Model Patterns)","","",""
"","5988","Antipattern:toBeHidden without trigger (Rule #11)","chromium","Thu Mar 26 10:18:48 UTC 2026","failed","Thu Mar 26 10:18:54 UTC 2026","Hall of Shame Examples","","",""
"","214","Failure Demo: Data Mismatch with Rich Table","chromium","Thu Mar 26 10:18:46 UTC 2026","failed","Thu Mar 26 10:18:46 UTC 2026","Rich Diagnostics Demonstration","","",""
"","178","Data-Driven Scalability: Flow for STANDARD instance","chromium","Thu Mar 26 10:19:00 UTC 2026","passed","Thu Mar 26 10:19:00 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","190","Rich Reporting: Data Tables and Attachments","chromium","Thu Mar 26 10:18:59 UTC 2026","passed","Thu Mar 26 10:19:00 UTC 2026","Enhanced BDR Features (Model Patterns)","","",""
"","21","User Authentication and Profile Check via API","chromium","Thu Mar 26 10:18:58 UTC 2026","failed","Thu Mar 26 10:18:58 UTC 2026","API BDR Demo","","",""
"","655","DEMO: expect.toPass architecture","chromium","Thu Mar 26 10:18:57 UTC 2026","passed","Thu Mar 26 10:18:58 UTC 2026","Async Stability Examples","","",""
"","996","Authenticate as Standard User","auth-setup","Thu Mar 26 10:18:40 UTC 2026","passed","Thu Mar 26 10:18:41 UTC 2026","","","",""
"","899","E2E: Rapid Checkout (Success - Mocked API)","chromium","Thu Mar 26 10:18:47 UTC 2026","passed","Thu Mar 26 10:18:48 UTC 2026","Hybrid BDR Demo: API + UI","","",""
